Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
01012100,??????????,502,????,4500,????,9,??,"514,500"
01012900,????????????????????,502,????,47400,????,143,??,"1,803,307"
01031000,??????????,502,????,15925,????,91,??,"186,279"
01051110,????????????????????????????????185g,502,????,1340,????,28622,??,"351,204"
01061410,??????????????????,502,????,282,????,282,??,"145,746"
01061910,????????????????????,502,????,25743,????,12010,??,"2,317,100"
01061990,"??????????????,????????????",502,????,3372,????,15612,??,"2,503,870"
01062019,????????????????????,502,????,698,????,1000,??,"28,084"
01062020,????????????,502,????,3792,????,358369,??,"255,420"
01062090,??????????????,502,????,62904,????,992706,??,"2,688,480"
01064910,????????????,502,????,0,????,5060,??,683
01064990,"????????,????????????",502,????,40,????,29496,??,"6,141"
01069090,"??????????,????????????",502,????,240,????,4840,??,"15,495"
02023000,??????????,502,????,800,????,0,?,"9,863"
02031900,??????????????,502,????,24862,????,0,?,"108,894"
02032200,????????????????????????????,502,????,44682749,????,0,?,"83,164,863"
02032900,??????????,502,????,56735869,????,0,?,"112,702,059"
02062900,????????????,502,????,950,????,0,?,"3,234"
02064900,????????????,502,????,140023759,????,0,?,"285,836,562"
02071411,????????????,502,????,3908376,????,0,?,"3,873,965"
02071421,????????????????????,502,????,376697,????,0,?,"397,278"
02071422,??????,502,????,19262785,????,0,?,"17,401,021"
02071429,????????????,502,????,5639639,????,0,?,"4,031,915"
02072700,??????????????????,502,????,5264230,????,0,?,"11,285,229"
02074500,??????????????,502,????,20,????,0,?,500
02091000,??????????????????????????????????????????????????????????????????????????????????,502,????,418997,????,0,?,"553,937"
02102000,??????????????????????,502,????,24,????,0,?,"1,476"
03011100,??????????,502,????,774,????,0,?,"18,013"
03011900,??????????,502,????,1339,????,0,?,"205,647"
03019290,??????????????????????????????,502,????,2640,????,0,?,"25,155"
03019999,????????,502,????,200,????,0,?,"92,000"
03021410,????????????????,502,????,690,????,0,?,"5,470"
03031100,????????????,502,????,3938328,????,0,?,"11,480,418"
03031200,??????????????,502,????,92524896,????,0,?,"220,843,519"
03031900,????????????,502,????,192998,????,0,?,"623,001"
03032500,?????????????????????????????????????????????,502,????,286045,????,0,?,"323,949"
03032900,????????????????????????????????????????,502,????,168810,????,0,?,"422,023"
03033110,??????????????,502,????,540468,????,0,?,"1,897,439"
03033190,????????????,502,????,56098,????,0,?,"347,507"
03033200,??????,502,????,1385244,????,0,?,"2,007,262"
03033400,?????????????????,502,????,25439,????,0,?,"141,763"
03033900,?????????????????????????????????????????????????????,502,????,106547185,????,0,?,"143,834,447"
03034100,????????????,502,????,348516,????,0,?,"1,158,251"
03034200,????????????,502,????,2989250,????,0,?,"4,098,664"
03034300,????????????,502,????,19242500,????,0,?,"18,471,493"
03034400,????????????,502,????,249500,????,0,?,"248,535"
03035100,????????????????????????????????,502,????,6010290,????,0,?,"6,955,688"
03035400,??????????????????????????????????????????????,502,????,78550,????,0,?,"101,279"
03036300,????????????????????????????????????????????,502,????,62615480,????,0,?,"166,721,058"
03036600,????????(??????????????????),502,????,1510341,????,0,?,"2,285,497"
03036700,????????,502,????,44488908,????,0,?,"62,865,947"
03036900,??????????????????????????????????????????????????????????????????????????????????????????????,502,????,614419,????,0,?,"821,719"
03038100,????????????????,502,????,82593,????,0,?,"330,370"
03038200,???????????????????,502,????,85700,????,0,?,"77,346"
03038930,??????,502,????,368014,????,0,?,"313,346"
03038990,??????????????,502,????,28549597,????,0,?,"67,894,845"
03039000,????????????,502,????,3392135,????,0,?,"16,512,975"
03044900,????????????????,502,????,13,????,0,?,262
03046900,????????????????????????????????????????????,502,????,1396,????,0,?,878
03047100,????????????????????????????????????????????????????????????,502,????,50095,????,0,?,"311,388"
03047400,????????(??????????????????)????,502,????,66483,????,0,?,"113,448"
03047500,????????????,502,????,2007675,????,0,?,"5,430,345"
03047900,????????????????????????????????????????????????????????????????????????????????????????,502,????,45,????,0,?,489
03048100,????????????????????????????????????????,502,????,28091,????,0,?,"179,693"
03048300,???????????????????????????????????????????????????????,502,????,2503,????,0,?,"2,009"
03048700,????????(????????)????????????(??)??????,502,????,2590,????,0,?,"43,121"
03048900,??????????,502,????,17403,????,0,?,"18,241"
03049300,??????????????????????????????????????????????????,502,????,9278,????,0,?,"7,881"
03049400,????????????,502,????,2638302,????,0,?,"7,719,576"
03049500,??????????????????????????????????????????????????????????????????????????????????????????????,502,????,2336315,????,0,?,"3,916,058"
03049900,??????????,502,????,2727597,????,0,?,"8,420,457"
03051000,??????????????????????????????????,502,????,53,????,0,?,189
03052000,??????????????????????????????,502,????,42321,????,0,?,"253,927"
03055990,??????????????????????????,502,????,262965,????,0,?,"404,963"
03061100,??????????????????????????????????????????????????,502,????,50298,????,0,?,"681,510"
